Scenario_ID,Run_Type,MTTD,MTTR,Success
S1_CPU_Starvation,Run A (Legacy),600.0,66.959273,True
S4_Network_Latency,Run A (Legacy),600.0,72.263399,True
S4_Network_Latency,Run B (Proposed),213.852205,273.871713,True
S7_Random_Pod_Kill,Run A (Legacy),600.0,72.630262,True
S2_Memory_Leak,Run A (Legacy),11.968566,551.884073,True
S1_CPU_Starvation,Run B (Proposed),6.946302,66.961516,True
S7_Random_Pod_Kill,Run B (Proposed),12.3929,72.33739,True
S2_Memory_Leak,Run A (Legacy),12.140916,192.093027,True
S1_CPU_Starvation,Run A (Legacy),600.0,66.901795,True
S1_CPU_Starvation,Run A (Legacy),600.0,66.686839,True
S4_Network_Latency,Run A (Legacy),600.0,72.197698,True
S1_CPU_Starvation,Run B (Proposed),6.090298,66.221751,True
S7_Random_Pod_Kill,Run B (Proposed),257.884115,317.857579,True
S7_Random_Pod_Kill,Run B (Proposed),12.716608,72.695727,True
S1_CPU_Starvation,Run A (Legacy),600.0,67.84916,True
S2_Memory_Leak,Run A (Legacy),12.623011,252.548696,True
S2_Memory_Leak,Run B (Proposed),11.821512,191.751537,True
S1_CPU_Starvation,Run A (Legacy),600.0,66.278323,True
S4_Network_Latency,Run A (Legacy),600.0,72.655784,True
S1_CPU_Starvation,Run A (Legacy),600.0,67.124958,True
S1_CPU_Starvation,Run B (Proposed),5.702154,65.739162,True
S1_CPU_Starvation,Run B (Proposed),7.047298,67.027463,True
S4_Network_Latency,Run B (Proposed),11.698025,71.67846,True
S1_CPU_Starvation,Run B (Proposed),6.29976,66.295488,True
S4_Network_Latency,Run B (Proposed),11.940624,71.894064,True
S1_CPU_Starvation,Run A (Legacy),600.0,67.154282,True
S7_Random_Pod_Kill,Run B (Proposed),12.30077,72.476626,True
S1_CPU_Starvation,Run B (Proposed),7.12965,67.190537,True
S1_CPU_Starvation,Run B (Proposed),5.922965,65.94597,True
S1_CPU_Starvation,Run B (Proposed),67.631043,67.886011,True
S2_Memory_Leak,Run A (Legacy),120.509158,356.986038,True
S2_Memory_Leak,Run B (Proposed),12.142223,252.141478,True
S1_CPU_Starvation,Run B (Proposed),6.404714,66.418627,True
S1_CPU_Starvation,Run B (Proposed),5.488707,65.496252,True
S1_CPU_Starvation,Run A (Legacy),600.0,66.276487,True
S1_CPU_Starvation,Run A (Legacy),600.0,66.511843,True
S1_CPU_Starvation,Run B (Proposed),6.762057,66.767257,True
S1_CPU_Starvation,Run B (Proposed),7.180691,67.14426,True
S2_Memory_Leak,Run B (Proposed),11.995126,251.974059,True
S7_Random_Pod_Kill,Run A (Legacy),600.0,72.013013,True
S1_CPU_Starvation,Run A (Legacy),600.0,66.22957,True
S1_CPU_Starvation,Run B (Proposed),6.266566,66.256237,True
S1_CPU_Starvation,Run A (Legacy),600.0,65.814685,True
S1_CPU_Starvation,Run B (Proposed),7.160386,67.154196,True
S1_CPU_Starvation,Run A (Legacy),600.0,66.360167,True
S2_Memory_Leak,Run B (Proposed),12.380128,192.386646,True
S2_Memory_Leak,Run B (Proposed),11.924811,191.920548,True
S1_CPU_Starvation,Run A (Legacy),600.0,65.938835,True
